  0.0000000E+00  0.0000000E+00  1.9449344E-03  4.2282613E-03  6.9078421E-03
  1.0051084E-02  1.3736346E-02  1.8054526E-02  2.3110798E-02  2.9026495E-02
  3.5941090E-02  4.4014242E-02  5.3427801E-02  6.4387664E-02  7.7125303E-02
  9.1898702E-02  0.1089925      0.1287166      0.1514036      0.1774034    
  0.2070752      0.2407761      0.2788461      0.3215890      0.3692496    
  0.4219877      0.4798520      0.5427529      0.6104416      0.6824952    
  0.7583134      0.8371283      0.9180289       1.000000       1.081971    
   1.162872       1.241687       1.317505       1.389558       1.457247    
   1.520148       1.578012       1.630750       1.678411       1.721154    
   1.759224       1.792925       1.822597       1.848596       1.871283    
   1.891008       1.908101       1.922875       1.935612       1.946572    
   1.955986       1.964059       1.970973       1.976889       1.981946    
   1.986264       1.989949       1.993092       1.995772       1.998055    
   2.000000    
